timestamp,frame,model,class,confidence
2025-04-28 22:59:01,1873,FishInv,7,0.607
2025-04-28 22:59:03,1915,MegaFauna,2,0.923
2025-04-28 22:59:03,1926,Trash,2,0.89
2025-04-28 22:59:05,1969,FishInv,7,0.698
2025-04-28 22:59:07,2017,MegaFauna,2,0.927
2025-04-28 22:59:08,2035,Trash,2,0.73
2025-04-28 22:59:14,2178,FishInv,12,0.599
2025-04-28 22:59:19,2269,FishInv,7,0.505
2025-04-28 22:59:23,2349,FishInv,12,0.595
2025-04-28 22:59:25,2383,MegaFauna,2,0.841
2025-04-28 22:59:27,2428,FishInv,12,0.859
2025-04-28 22:59:29,2468,MegaFauna,2,0.658
2025-04-28 22:59:32,2524,MegaFauna,2,0.505
2025-04-29 00:02:30,192,FishInv,12,0.505
2025-04-29 00:02:31,200,FishInv,12,0.544
2025-04-29 00:02:31,206,FishInv,12,0.548
2025-04-29 00:02:34,232,Trash,3,0.558
2025-04-29 00:02:36,247,FishInv,8,0.551
2025-04-29 00:02:43,314,MegaFauna,2,0.687
2025-04-29 00:02:44,317,FishInv,8,0.565
2025-04-29 00:02:50,377,Trash,2,0.67
2025-04-29 00:02:51,382,Trash,3,0.669
2025-04-29 00:02:51,382,Trash,2,0.583
2025-04-29 00:02:51,384,FishInv,4,0.522
2025-04-29 00:02:54,419,Trash,2,0.568
2025-04-29 00:02:55,424,Trash,3,0.592
2025-04-29 00:02:55,424,Trash,2,0.536
2025-04-29 00:02:55,429,Trash,3,0.627
2025-04-29 00:02:56,432,Trash,3,0.671
2025-04-29 00:02:56,436,Trash,2,0.501
2025-04-29 00:02:57,441,Trash,3,0.644
2025-04-29 00:02:57,445,Trash,3,0.558
2025-04-29 00:02:58,456,FishInv,8,0.696
2025-04-29 00:02:59,460,FishInv,8,0.557
2025-04-29 00:02:59,468,Trash,7,0.596
2025-04-29 00:02:59,468,Trash,3,0.525
2025-04-29 00:03:00,478,Trash,3,0.73
2025-04-29 00:03:00,478,Trash,7,0.665
2025-04-29 00:03:02,496,Trash,3,0.622
2025-04-29 00:03:02,496,Trash,7,0.511
2025-04-29 00:03:05,521,Trash,7,0.533
2025-04-29 00:03:06,527,Trash,7,0.507
2025-04-29 00:03:07,537,Trash,3,0.664
2025-04-29 00:03:08,547,FishInv,8,0.558
2025-04-29 00:03:09,554,Trash,3,0.634
2025-04-29 00:03:09,560,FishInv,4,0.532
2025-04-29 00:03:10,564,FishInv,8,0.776
2025-04-29 00:03:10,569,FishInv,8,0.725
2025-04-29 00:03:11,573,FishInv,8,0.756
2025-04-29 00:03:14,606,FishInv,12,0.579
2025-04-29 00:03:15,621,FishInv,8,0.793
2025-04-29 00:03:19,658,Trash,2,0.593
2025-04-29 00:03:19,658,Trash,2,0.565
2025-04-29 00:03:19,658,Trash,2,0.515
2025-04-29 00:03:19,663,Trash,2,0.682
2025-04-29 00:03:20,666,MegaFauna,2,0.81
2025-04-29 00:03:20,667,Trash,2,0.858
2025-04-29 00:03:20,667,Trash,2,0.681
2025-04-29 00:03:20,667,Trash,2,0.572
2025-04-29 00:03:20,671,MegaFauna,2,0.811
2025-04-29 00:03:20,672,Trash,2,0.731
2025-04-29 00:03:21,674,FishInv,11,0.853
2025-04-29 00:03:21,675,MegaFauna,2,0.899
2025-04-29 00:03:21,678,Trash,2,0.851
2025-04-29 00:03:21,678,Trash,2,0.701
2025-04-29 00:03:21,679,FishInv,11,0.855
2025-04-29 00:03:21,681,MegaFauna,2,0.894
2025-04-29 00:03:21,682,Trash,2,0.712
2025-04-29 00:03:22,685,FishInv,11,0.888
2025-04-29 00:03:22,687,MegaFauna,2,0.853
2025-04-29 00:03:22,688,Trash,2,0.807
2025-04-29 00:03:22,688,Trash,2,0.762
2025-04-29 00:03:22,688,Trash,9,0.549
2025-04-29 00:03:22,690,FishInv,11,0.874
2025-04-29 00:03:22,691,MegaFauna,2,0.886
2025-04-29 00:03:22,693,Trash,2,0.591
2025-04-29 00:03:23,694,FishInv,11,0.596
2025-04-29 00:03:23,696,MegaFauna,2,0.94
2025-04-29 00:03:23,698,Trash,2,0.525
2025-04-29 00:03:23,700,FishInv,11,0.783
2025-04-29 00:03:23,702,MegaFauna,2,0.913
2025-04-29 00:03:24,705,FishInv,11,0.871
2025-04-29 00:03:24,706,MegaFauna,2,0.886
2025-04-29 00:03:24,708,Trash,2,0.709
2025-04-29 00:03:24,708,Trash,2,0.617
2025-04-29 00:03:24,711,FishInv,11,0.898
2025-04-29 00:03:24,712,MegaFauna,2,0.911
2025-04-29 00:03:25,714,Trash,2,0.624
2025-04-29 00:03:25,714,Trash,2,0.517
2025-04-29 00:03:25,715,FishInv,11,0.897
2025-04-29 00:03:25,718,MegaFauna,2,0.862
2025-04-29 00:03:25,719,Trash,2,0.831
2025-04-29 00:03:25,721,FishInv,11,0.841
2025-04-29 00:03:26,724,MegaFauna,2,0.909
2025-04-29 00:03:26,725,Trash,2,0.887
2025-04-29 00:03:26,725,Trash,8,0.531
2025-04-29 00:03:26,726,FishInv,11,0.785
2025-04-29 00:03:26,727,MegaFauna,2,0.911
2025-04-29 00:03:26,730,Trash,2,0.835
2025-04-29 00:03:26,730,Trash,8,0.582
2025-04-29 00:03:26,732,FishInv,11,0.698
2025-04-29 00:03:27,734,MegaFauna,2,0.943
2025-04-29 00:03:27,735,Trash,2,0.798
2025-04-29 00:03:27,735,Trash,2,0.561
2025-04-29 00:03:27,737,FishInv,11,0.756
2025-04-29 00:03:27,739,MegaFauna,2,0.927
2025-04-29 00:03:27,741,Trash,8,0.639
2025-04-29 00:03:27,744,FishInv,11,0.799
2025-04-29 00:03:28,745,MegaFauna,2,0.931
2025-04-29 00:03:28,749,FishInv,11,0.886
2025-04-29 00:03:28,751,MegaFauna,2,0.911
2025-04-29 00:03:28,752,Trash,2,0.77
2025-04-29 00:03:28,753,FishInv,11,0.892
2025-04-29 00:03:28,754,MegaFauna,2,0.895
